"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202406.csv"
"C","Report for: 06 2024"
"C","Report generated: 10/08/2024 23:26:21 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","JUN 2024 JUN","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","SELL","OFFPEAK",0.5,-96.64
"D","JUN 2024 JUN","152206","In Commodities US LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","4181","LD.REDBROOK34.5","NETWORK NODE","BUY","ONPEAK",3,-199.82
"D","JUN 2024 JUN","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","SELL","ONPEAK",0.5,-249.18
"D","JUN 2024 JUN","152206","In Commodities US LLC","322","UN.FRNKLNSQ13.811CC","NETWORK NODE","4856","LD.HAWKINS 13.8110B LD","NETWORK NODE","BUY","ONPEAK",3,-197.14
"D","JUN 2024 JUN","126652","Transgrid Midwest LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","327","UN.EDDY    34.5AMOS","NETWORK NODE","SELL","OFFPEAK",0.5,-54.71
"D","JUN 2024 JUN","152206","In Commodities US LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","472","UN.MBTA    14.4MBTA","NETWORK NODE","BUY","ONPEAK",2,-176.11
"D","JUN 2024 JUN","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",8.3,1.22
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",0.8,5.22
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","OFFPEAK",11,14.73
"D","JUN 2024 JUN","152206","In Commodities US LLC","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4583","LD.S_NAUGTK13.8","NETWORK NODE","BUY","ONPEAK",1.5,-151.16
"D","JUN 2024 JUN","152206","In Commodities US LLC","336","UN.BERLINVT34.5BERL","NETWORK NODE","590","UN.BIGELOW 115 STRA","NETWORK NODE","BUY","OFFPEAK",0.5,-58.66
"D","JUN 2024 JUN","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","OFFPEAK",1,3.62
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","39676","LD.LEEDS_ME34.5","NETWORK NODE","BUY","ONPEAK",2.2,27.38
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","ONPEAK",2.7,21.47
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","48164","LD.BLACK_RK69","NETWORK NODE","BUY","ONPEAK",2.4,0.29
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",1.4,0.8
"D","JUN 2024 JUN","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","OFFPEAK",3,-63.78
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16249","LD.HYANIS_J24.0","NETWORK NODE","BUY","OFFPEAK",3.1,-1.6
"D","JUN 2024 JUN","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16250","LD.WELFLEET23","NETWORK NODE","BUY","OFFPEAK",3.1,-1.6
"D","JUN 2024 JUN","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,2.99
"D","JUN 2024 JUN","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","ONPEAK",5,-44.69
"D","JUN 2024 JUN","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",1,0.54
"D","JUN 2024 JUN","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",32,0.54
"D","JUN 2024 JUN","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",1,0.13
"D","JUN 2024 JUN","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",32,0.13
"D","JUN 2024 JUN","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","OFFPEAK",8.5,-1.2
