"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202401.csv"
"C","Report for: 01 2024"
"C","Report generated: 10/06/2024 19:45:56 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","337","UN.WHITEFLD34.5BETH","NETWORK NODE","BUY","OFFPEAK",0.1,-103.31
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","4301","LD.FRNKLNSQ11.5","NETWORK NODE","BUY","ONPEAK",0.1,128.99
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",8.3,0.43
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",8,2.01
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","327","UN.EDDY    34.5AMOS","NETWORK NODE","337","UN.WHITEFLD34.5BETH","NETWORK NODE","BUY","ONPEAK",0.1,-170.88
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","328","UN.GULFISLD34.5GULF","NETWORK NODE","4299","LD.WAMPNOAG12.5","NETWORK NODE","BUY","ONPEAK",0.1,13.68
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","329","UN.ASCUTNEY46  ASCU","NETWORK NODE","4543","LD.E_NBRITN13.8","NETWORK NODE","BUY","ONPEAK",0.1,66.07
"D","JAN 2024 JAN","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","OFFPEAK",27.8,8.93
"D","JAN 2024 JAN","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","ONPEAK",25.2,8.51
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",1,8.75
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","OFFPEAK",1,8.53
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","BUY","OFFPEAK",0.1,-133.61
"D","JAN 2024 JAN","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","BUY","ONPEAK",0.1,-211.13
"D","JAN 2024 JAN","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","10512","LD.CHALLENG34.5","NETWORK NODE","BUY","ONPEAK",1.3,7.76
"D","JAN 2024 JAN","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","4138","LD.RUMFD_IP34.5","NETWORK NODE","BUY","ONPEAK",1.2,0.01
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","ONPEAK",1,8.06
"D","JAN 2024 JAN","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","ONPEAK",1,7.47
"D","JAN 2024 JAN","50086","NextEra Energy Marketing","348","UN.PERRY_ST13.8BOOT","NETWORK NODE","10033","LD.BURTT_RD13.2","NETWORK NODE","BUY","OFFPEAK",1,0.05
"D","JAN 2024 JAN","50086","NextEra Energy Marketing","348","UN.PERRY_ST13.8BOOT","NETWORK NODE","4260","LD.PINEHRST13.2","NETWORK NODE","BUY","OFFPEAK",8,0.04
"D","JAN 2024 JAN","50086","NextEra Energy Marketing","348","UN.PERRY_ST13.8BOOT","NETWORK NODE","4260","LD.PINEHRST13.2","NETWORK NODE","BUY","OFFPEAK",4,0.04
