"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202405.csv"
"C","Report for: 05 2024"
"C","Report generated: 10/09/2024 16:21:09 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","MAY 2024 MAY","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","SELL","OFFPEAK",0.5,-182.19
"D","MAY 2024 MAY","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","SELL","ONPEAK",0.5,-207.62
"D","MAY 2024 MAY","126652","Transgrid Midwest LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","SELL","OFFPEAK",0.5,-47.53
"D","MAY 2024 MAY","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",8.3,0.95
"D","MAY 2024 MAY","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",8,1.78
"D","MAY 2024 MAY","152206","In Commodities US LLC","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4583","LD.S_NAUGTK13.8","NETWORK NODE","BUY","ONPEAK",1.5,-173.82
"D","MAY 2024 MAY","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","39676","LD.LEEDS_ME34.5","NETWORK NODE","BUY","OFFPEAK",30,19.85
"D","MAY 2024 MAY","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","ONPEAK",2.4,49.05
"D","MAY 2024 MAY","126652","Transgrid Midwest LLC","345","UN.9DRAGONS115 BOIS","NETWORK NODE","39676","LD.LEEDS_ME34.5","NETWORK NODE","BUY","ONPEAK",30,49.52
"D","MAY 2024 MAY","50851","MAG Energy Solutions_ Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","BUY","ONPEAK",5.7,2.89
"D","MAY 2024 MAY","132849","Curio Analytics Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4577","LD.COLONY  13.8","NETWORK NODE","BUY","ONPEAK",3,-51.89
"D","MAY 2024 MAY","132849","Curio Analytics Inc.","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4600","LD.NORWALK 27.6","NETWORK NODE","BUY","ONPEAK",2,-14.82
