"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202404.csv"
"C","Report for: 04 2024"
"C","Report generated: 10/09/2024 16:22:43 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","APR 2024 APR","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","SELL","ONPEAK",0.2,-100.66
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",0.4,0.87
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",0.1,0.87
"D","APR 2024 APR","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","OFFPEAK",8.3,0.87
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",1.6,1.79
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",1.6,1.79
"D","APR 2024 APR","90533","Dynasty Power Inc.","327","UN.EDDY    34.5AMOS","NETWORK NODE","4866","LD.HYDE_PRK13.8110B","NETWORK NODE","BUY","ONPEAK",8,1.79
"D","APR 2024 APR","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4004",".Z.CONNECTICUT","LOAD ZONE","BUY","ONPEAK",1.5,-22.53
"D","APR 2024 APR","152206","In Commodities US LLC","336","UN.BERLINVT34.5BERL","NETWORK NODE","590","UN.BIGELOW 115 STRA","NETWORK NODE","BUY","OFFPEAK",0.5,-40.05
"D","APR 2024 APR","126652","Transgrid Midwest LLC","346","UN.MIDDLESX34.5BOLT","NETWORK NODE","356","UN.FORESTVL13.8BRF","NETWORK NODE","SELL","ONPEAK",0.2,-9.74
"D","APR 2024 APR","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","OFFPEAK",8.6,-3.58
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","OFFPEAK",8.1,-3.58
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","48164","LD.BLACK_RK69","NETWORK NODE","BUY","ONPEAK",2.2,-3.61
"D","APR 2024 APR","90533","Dynasty Power Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",8.5,-4.99
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",2.8,-4.99
"D","APR 2024 APR","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","OFFPEAK",9.1,0.6
"D","APR 2024 APR","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","OFFPEAK",3,-4.92
"D","APR 2024 APR","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,1.5
"D","APR 2024 APR","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","ONPEAK",5,-2.37
"D","APR 2024 APR","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",32,0.75
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4505","LD.PLEASANT23","NETWORK NODE","BUY","OFFPEAK",6.1,-0.11
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4507","LD.PLAINFLD23","NETWORK NODE","BUY","OFFPEAK",4.5,-0.94
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4509","LD.CUMBRLND13.8","NETWORK NODE","BUY","OFFPEAK",5.8,-0.47
"D","APR 2024 APR","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",1,0.75
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4509","LD.CUMBRLND13.8","NETWORK NODE","BUY","ONPEAK",4,0.06
"D","APR 2024 APR","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",32,0.68
"D","APR 2024 APR","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",1,0.68
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",4.3,0.68
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4507","LD.PLAINFLD23","NETWORK NODE","BUY","ONPEAK",3.6,-0.56
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","4505","LD.PLEASANT23","NETWORK NODE","BUY","ONPEAK",6,0.49
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","50815","UN.COOLIDGE34.5COLS","NETWORK NODE","BUY","ONPEAK",3.4,0.8
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","OFFPEAK",4.4,-0.4
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","OFFPEAK",9.2,-0.15
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","OFFPEAK",8.5,-0.4
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4310","LD.ADAMS   23","NETWORK NODE","BUY","OFFPEAK",13.8,-0.24
"D","APR 2024 APR","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",16,0.75
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4458","LD.BLISVILL46","NETWORK NODE","BUY","OFFPEAK",0.7,-1.09
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","OFFPEAK",11.8,-0.15
"D","APR 2024 APR","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",2,0.75
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","OFFPEAK",8.5,-0.4
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","OFFPEAK",4.4,-0.4
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","ONPEAK",3.4,0.16
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","36881","LD.NEWFANE 46","NETWORK NODE","BUY","ONPEAK",1.7,0.81
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","ONPEAK",8.9,0.16
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","ONPEAK",7.8,0.04
"D","APR 2024 APR","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",16,0.68
"D","APR 2024 APR","50086","NextEra Energy Marketing","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",2,0.68
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","ONPEAK",6.7,0.04
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4310","LD.ADAMS   23","NETWORK NODE","BUY","ONPEAK",9.5,-0.19
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","ONPEAK",4.3,0.68
"D","APR 2024 APR","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","ONPEAK",8.4,0.16
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","ONPEAK",3.6,0.16
"D","APR 2024 APR","152206","In Commodities US LLC","362","UN.BULLSBDG27.6BULL","NETWORK NODE","4437","LD.HAWTHORN13.8","NETWORK NODE","BUY","OFFPEAK",2,-7.56
"D","APR 2024 APR","152206","In Commodities US LLC","362","UN.BULLSBDG27.6BULL","NETWORK NODE","4437","LD.HAWTHORN13.8","NETWORK NODE","BUY","ONPEAK",2,-12.52
"D","APR 2024 APR","152206","In Commodities US LLC","363","UN.QUEENCTY13.8BURL","NETWORK NODE","12551","UN.KIBBY   34.5KIBY","NETWORK NODE","BUY","OFFPEAK",3,-41.81
"D","APR 2024 APR","90533","Dynasty Power Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","40058","LD.BROOK_ST23","NETWORK NODE","BUY","OFFPEAK",8,0.07
"D","APR 2024 APR","90533","Dynasty Power Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4242","LD.INDSTLPK13.2","NETWORK NODE","BUY","OFFPEAK",8,0.03
"D","APR 2024 APR","90533","Dynasty Power Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","10571","LD.OAK_ST  23","NETWORK NODE","BUY","OFFPEAK",8,0.01
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4242","LD.INDSTLPK13.2","NETWORK NODE","BUY","ONPEAK",1.4,0.06
"D","APR 2024 APR","132849","Curio Analytics Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4620","LD.N_WALFRD13.8","NETWORK NODE","BUY","ONPEAK",3,-59.6
"D","APR 2024 APR","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4242","LD.INDSTLPK13.2","NETWORK NODE","BUY","ONPEAK",1.6,0.06
"D","APR 2024 APR","90533","Dynasty Power Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","4242","LD.INDSTLPK13.2","NETWORK NODE","BUY","ONPEAK",8,0.06
"D","APR 2024 APR","152206","In Commodities US LLC","370","UN.COSCOB  13.8CC10","NETWORK NODE","43591","LD.FITCH   27.6","NETWORK NODE","BUY","OFFPEAK",3,-0.61
"D","APR 2024 APR","152206","In Commodities US LLC","370","UN.COSCOB  13.8CC10","NETWORK NODE","43591","LD.FITCH   27.6","NETWORK NODE","BUY","ONPEAK",1.5,-0.79
"D","APR 2024 APR","50086","NextEra Energy Marketing","396","UN.DEVON   13.8DV10","NETWORK NODE","4431","LD.WOODMONT13.8","NETWORK NODE","BUY","OFFPEAK",1,0.47
"D","APR 2024 APR","152206","In Commodities US LLC","396","UN.DEVON   13.8DV10","NETWORK NODE","4431","LD.WOODMONT13.8","NETWORK NODE","BUY","OFFPEAK",3,0.47
"D","APR 2024 APR","50086","NextEra Energy Marketing","396","UN.DEVON   13.8DV10","NETWORK NODE","4431","LD.WOODMONT13.8","NETWORK NODE","BUY","OFFPEAK",4,0.47
