"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202409.csv"
"C","Report for: 09 2024"
"C","Report generated: 10/09/2024 16:20:59 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","SEP 2024 SEP","152206","In Commodities US LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","4181","LD.REDBROOK34.5","NETWORK NODE","BUY","ONPEAK",3,-251.1
"D","SEP 2024 SEP","152206","In Commodities US LLC","322","UN.FRNKLNSQ13.811CC","NETWORK NODE","4856","LD.HAWKINS 13.8110B LD","NETWORK NODE","BUY","ONPEAK",3,-248.84
"D","SEP 2024 SEP","152206","In Commodities US LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","472","UN.MBTA    14.4MBTA","NETWORK NODE","BUY","ONPEAK",2,-244.15
"D","SEP 2024 SEP","126652","Transgrid Midwest LLC","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","389","UN.INDIAN  13.8DERB","NETWORK NODE","SELL","ONPEAK",0.7,22.27
"D","SEP 2024 SEP","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","460","UN.WINSLOW 34.5LCKW","NETWORK NODE","BUY","OFFPEAK",2,-70.14
"D","SEP 2024 SEP","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","37150","LD.MADISON 34.5","NETWORK NODE","BUY","ONPEAK",1.5,-238.22
"D","SEP 2024 SEP","152206","In Commodities US LLC","336","UN.BERLINVT34.5BERL","NETWORK NODE","590","UN.BIGELOW 115 STRA","NETWORK NODE","BUY","OFFPEAK",0.5,-100.58
"D","SEP 2024 SEP","152206","In Commodities US LLC","336","UN.BERLINVT34.5BERL","NETWORK NODE","590","UN.BIGELOW 115 STRA","NETWORK NODE","BUY","ONPEAK",0.5,-238.95
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","73280","AR.W_BUXTON34.5BONBD","NETWORK NODE","BUY","OFFPEAK",0.2,9.53
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","47755","LD.HANOVER 13.81690 LD","NETWORK NODE","BUY","ONPEAK",1.3,-0.07
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","356","UN.FORESTVL13.8BRF","NETWORK NODE","48164","LD.BLACK_RK69","NETWORK NODE","BUY","ONPEAK",2.2,-0.07
"D","SEP 2024 SEP","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","OFFPEAK",3,-84.96
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","OFFPEAK",9.1,0.47
"D","SEP 2024 SEP","152206","In Commodities US LLC","357","UN.ASHLAND 34.5BRID","NETWORK NODE","68258","LD.COUNTYRD34.5","NETWORK NODE","BUY","ONPEAK",5,-124.46
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,4.3
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","OFFPEAK",9.2,-0.29
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","OFFPEAK",8.5,-0.75
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","OFFPEAK",8.5,-0.75
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4310","LD.ADAMS   23","NETWORK NODE","BUY","OFFPEAK",15.8,-0.19
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4510","LD.MONTAGUE13.8","NETWORK NODE","BUY","ONPEAK",8.4,0.12
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4804","LD.AMHRST  13.8WEST LD","NETWORK NODE","BUY","ONPEAK",8.9,0.12
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4310","LD.ADAMS   23","NETWORK NODE","BUY","ONPEAK",7.1,-0.18
"D","SEP 2024 SEP","90533","Dynasty Power Inc.","360","UN.BEARSWMP13.8BSW2","NETWORK NODE","4309","LD.HARRIMAN6.9","NETWORK NODE","BUY","ONPEAK",7.8,-0.08
"D","SEP 2024 SEP","152206","In Commodities US LLC","363","UN.QUEENCTY13.8BURL","NETWORK NODE","12551","UN.KIBBY   34.5KIBY","NETWORK NODE","BUY","OFFPEAK",3,-102.17
"D","SEP 2024 SEP","152206","In Commodities US LLC","363","UN.QUEENCTY13.8BURL","NETWORK NODE","12551","UN.KIBBY   34.5KIBY","NETWORK NODE","BUY","ONPEAK",3,-238.74
"D","SEP 2024 SEP","126652","Transgrid Midwest LLC","365","UN.CANAL   18.0CAN1","NETWORK NODE","405","UN.ELLSWRTH34.5ELLS","NETWORK NODE","SELL","OFFPEAK",0.7,-131.6
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","10571","LD.OAK_ST  23","NETWORK NODE","BUY","OFFPEAK",4.1,0.16
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","365","UN.CANAL   18.0CAN1","NETWORK NODE","10571","LD.OAK_ST  23","NETWORK NODE","BUY","ONPEAK",1.1,0.52
"D","SEP 2024 SEP","152206","In Commodities US LLC","370","UN.COSCOB  13.8CC10","NETWORK NODE","43591","LD.FITCH   27.6","NETWORK NODE","BUY","OFFPEAK",3,0.35
"D","SEP 2024 SEP","152206","In Commodities US LLC","370","UN.COSCOB  13.8CC10","NETWORK NODE","43591","LD.FITCH   27.6","NETWORK NODE","BUY","ONPEAK",1.5,-0.4
"D","SEP 2024 SEP","50851","MAG Energy Solutions_ Inc.","370","UN.COSCOB  13.8CC10","NETWORK NODE","4435","LD.PEQUONCK13.8","NETWORK NODE","BUY","ONPEAK",2.8,-1.13
"D","SEP 2024 SEP","126652","Transgrid Midwest LLC","375","UN.TAUNTON 13.8CL9C","NETWORK NODE","4017",".I.NRTHPORT138 5","NETWORK NODE","SELL","OFFPEAK",0.6,-38.5
"D","SEP 2024 SEP","152206","In Commodities US LLC","389","UN.INDIAN  13.8DERB","NETWORK NODE","4433","LD.BAIRD   13.81X_LD","NETWORK NODE","BUY","OFFPEAK",2,-15.39
