"C","Monthly FTR Auction Results"
"C","Filename: monthly_ftr_auction_results_202407.csv"
"C","Report for: 07 2024"
"C","Report generated: 10/09/2024 16:21:04 EDT"
"H","Auction Name","Customer ID","Customer Name","Source Location ID","Source Location Name","Source Location Type","Sink Location ID","Sink Location Name","Sink Location Type","Buy/Sell","ClassType","Award FTR MW","Award FTR Price"
"H","String","Number","String","Number","String","String","Number","String","String","String","String","Number","Number"
"D","JUL 2024 JUL","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","326","UN.ALTRESCO13.8ALTR","NETWORK NODE","SELL","OFFPEAK",0.6,-123.85
"D","JUL 2024 JUL","126652","Transgrid Midwest LLC","321","UN.FRNKLNSQ13.810CC","NETWORK NODE","427","UN.BERLN_NH34.5GORH","NETWORK NODE","SELL","OFFPEAK",0.3,-144.98
"D","JUL 2024 JUL","126652","Transgrid Midwest LLC","323","UN.FRNKLNSQ13.89CC","NETWORK NODE","327","UN.EDDY    34.5AMOS","NETWORK NODE","SELL","OFFPEAK",0.6,-65.73
"D","JUL 2024 JUL","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","OFFPEAK",18.6,5
"D","JUL 2024 JUL","50851","MAG Energy Solutions_ Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","35693","UN.WOODSTCK34.5SPMT","NETWORK NODE","BUY","ONPEAK",9.9,1.78
"D","JUL 2024 JUL","132849","Curio Analytics Inc.","331","UN.ROXBURY 34.5AZIS","NETWORK NODE","4001",".Z.MAINE","LOAD ZONE","BUY","ONPEAK",2,-24.74
"D","JUL 2024 JUL","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","OFFPEAK",1,-1.58
"D","JUL 2024 JUL","50851","MAG Energy Solutions_ Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","73280","AR.W_BUXTON34.5BONBD","NETWORK NODE","BUY","OFFPEAK",0.2,-1.65
"D","JUL 2024 JUL","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","OFFPEAK",1,2.19
"D","JUL 2024 JUL","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","46661","LD.NORWAY  12.5","NETWORK NODE","BUY","ONPEAK",1,0.1
"D","JUL 2024 JUL","90533","Dynasty Power Inc.","345","UN.9DRAGONS115 BOIS","NETWORK NODE","7607","DR.ME_Portland","DRRAZ","BUY","ONPEAK",1,-2.17
"D","JUL 2024 JUL","126652","Transgrid Midwest LLC","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","SELL","OFFPEAK",20,-6.64
"D","JUL 2024 JUL","126652","Transgrid Midwest LLC","349","UN.BPT_RESC13.8BPTR","NETWORK NODE","4438","LD.OLD_TOWN13.8","NETWORK NODE","SELL","ONPEAK",10,-3.2
"D","JUL 2024 JUL","50851","MAG Energy Solutions_ Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","16249","LD.HYANIS_J24.0","NETWORK NODE","BUY","OFFPEAK",3.7,-2.84
"D","JUL 2024 JUL","132849","Curio Analytics Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4084","LD.WOBURN  13.8","NETWORK NODE","BUY","ONPEAK",3,3.38
"D","JUL 2024 JUL","90533","Dynasty Power Inc.","357","UN.ASHLAND 34.5BRID","NETWORK NODE","4379","LD.PEMIGWAS34.5","NETWORK NODE","BUY","ONPEAK",8.9,2.67
"D","JUL 2024 JUL","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",32,0.71
"D","JUL 2024 JUL","50086","NextEra Energy Marketing","359","UN.BEARSWMP13.8BSW1","NETWORK NODE","67725","LD.BEARSWMP13.8","NETWORK NODE","BUY","OFFPEAK",1,0.71
